id	title	subtitle	href	order	weight	status	kind	tags	location	mapForm	islandId	cx	cy	rx	ry	extraCount	notes
bookshelf	Bookshelf of Curiosities	Books, timelines, literary maps, reading projects, and essays.	https://bookshelf.cabinetofcuriosities.in/	10	4	true	world	books;literature;timelines	subdomain	large-island	island-bookshelf	480	370	250	135	2	
fffx	Form follows f(x)	Creative coding, generative systems, and procedural visuals.	https://fffx.cabinetofcuriosities.in/	20	4	true	world	creative-coding;generative;p5js	subdomain	large-island	island-fffx	1030	350	260	130	2	fffx site_url is configured for this subdomain but no CNAME file exists in the fffx repo yet -- verify DNS is live before treating this link as production-ready.
web-tech	WebTech	Web experiments, Generative bots, twine and other web ephemera.	webtech/	30	2	true	region	creative-coding;bots;generative;web	mkdocs								Active and mapped (status: true) -- has an mkdocs nav section (TraceryBots/Dot Mandala/Twine/Creative Coding) and needs no cx/cy of its own: cabinet-v3-layout.js's squarify() computes section placement live from weight, so blank cx/cy here is normal, same as writings/fab. The old #69 "grid is full, needs a layout decision" reasoning was corrected in the ledger itself back on 2026-08-24; this note is what was left unupdated after that correction and the later true flip.
writings	Writings	Poetry, Essays, and Miscellany	writings/	40	2	true	region		mkdocs								Migrated from Bookshelf's My Writings 2026-09-16 -- content and nav now live entirely in Cabinet, see documentation/toDo - content.md.
teaching	Teaching	Teaching history, approach, and student work.	teaching/	50	2	true	region	teaching;students	mkdocs	medium-island	island-teaching	460	720	245	120	3	Real dedicated Teaching landing page (docs/teaching/index.md, moved under teaching/ 2026-09-03) added 2026-08-24 -- href was a placeholder pointing at the external SSD Creative Coding showcase before this.
visual-field-notes	Visual Field Notes	Type, doors, streets, places, patterns, and observed details.		60	2	wip	region	photography;type;places	mkdocs	medium-island	island-field-notes	1005	720	270	130	2	Entirely new section, no built pages yet anywhere -- island renders as non-navigating (coming soon) until content exists.
machines-makings	Machines & Makings	Making processes, fabrication notes, and machine collections.	makings/	70	3	wip	region	fabrication;making;machines	mkdocs	medium-island	island-machines-makings	420	1090	290	110	3	
data-interactions	Interactive Data	Data Visualisations	dataviz/	80	3	false	region	dataviz;web;	mkdocs	medium-island	island-interfaces	1005	1090	260	105	2	href updated 2026-09-03: creative_code.md was renamed/moved to webtech.md when the docs/ content-folder reorg absorbed it as the new Webtech umbrella page (see conversation-backend-and-deploy.md Part 6) -- section id/title left unchanged, that's a separate labeling decision, not part of the physical move.
compass	Compass Rose			90	4	true	compass			compass	island-compass	1470	1170	115	115	0	SE-reserved compass rose section -- kind: compass triggers a dedicated render path in landing-v3 (no archipelago growth, no filler islands); cx/cy/rx/ry are unused placeholders, real placement comes from the deterministic SE-corner square carve in cabinet-v3-layout.js.
fab	Fab	Fab Academy, Fabricademy, and reflections from Fab Academy cohorts.		100	2	true	region	fabacademy;fabricademy;making;reflections	external								New section, 2026-08-24, direct request (#27 intercession -- Fab/Fabricademy are not Level-1 worlds per the standing WORLD-SYSTEMS.md rule, but a Fab SECTION with a couple of program-link islands plus reflection writeups is fine). cx/cy/rx/ry left blank -- confirmed vestigial, squarify() computes placement live from weight.
