id	section	title	subtitle	href	order	weight	status	kind	tags	location	thumbnail	relatedLinks	anchor	notes
scifi	bookshelf	Golden Age SciFi	Timeline and reading project on the writers who imagined tomorrow.	https://bookshelf.cabinetofcuriosities.in/scifi/	10	3	true	world-entry	science-fiction;golden-age	subdomain				
asimov	bookshelf	Asimov	Foundation, Robots, and the Grand Unification.	https://bookshelf.cabinetofcuriosities.in/asimov/	20	3	true	world-entry	science-fiction;author;asimov	subdomain				
writings-poetry	writings	Poetry		writings/poems/	40	2	true	writing-collection		mkdocs				Migrated from Bookshelf's my-writings/poems/ 2026-09-16.
writings-essays	writings	Essays		writings/essays/	50	2	true	writing-collection		mkdocs				Migrated from Bookshelf's my-writings/essays/ 2026-09-16.
vera-molnar	fffx	Vera Molnar	A code-driven homage and study.	https://fffx.cabinetofcuriosities.in/recreating-the-past/vera-molnar/	10	4	true	artist-study	artist-study;geometry	subdomain				
circle-packing-library	fffx	Circle Packing Library	From Bookclubs to Libraries -- circle packing with code.	https://fffx.cabinetofcuriosities.in/tools-and-libraries/circle-packing-library/	20	4	true	library	p5;circle-packing;library	subdomain		GitHub repository|https://github.com/jesmehta/p5-circle-packing		fffx has its own thumbnail asset at this entry but it is relative to fffx's own docs root -- not copied into Cabinet yet, uses placeholder tile for now.
particle-systems	fffx	Particle Systems	Particles, motion, and emergent behaviour.	https://fffx.cabinetofcuriosities.in/deep-studies/particle-systems/	30	3	false	deep-study	p5;particles;motion	subdomain				
100-gradients	fffx	100 Gradients	A study in generated colour fields.	https://fffx.cabinetofcuriosities.in/deep-studies/100-gradients/	40	3	false	deep-study	gradients;colour;generative	subdomain				
students-creative-coding-2025-26	teaching	Student Work - Creative Coding	Selected student work and showcases from SSD Creative Coding.	teaching/ssd-creative-coding-2025-26/	10	3	true	gallery	teaching;students;showcase	assembly				Multi-repo assembly, mounted at /teaching/ssd-creative-coding-2025-26/ (jesmehta/SSD_Student_Work, subfolder ssd-creative-coding-2025-26/) -- was an external link before 2026-08-24; repo reorganised into a multi-gallery "SSD Student Work" repo and renamed to match, 2026-09-04, mount path updated accordingly.
students-creative-coding-2024-25	teaching	Student Work - Creative Coding 2024-25	Selected student work and showcases from SSD Creative Coding, 2024-25 cohort.	teaching/ssd-creative-coding-2024-25/	12	3	true	gallery	teaching;students;showcase	assembly				Multi-repo assembly, mounted at /teaching/ssd-creative-coding-2024-25/ (jesmehta/SSD_Student_Work, subfolder ssd-creative-coding-2024-25/) -- see content/external-repos.tsv.
students-creative-coding-2023-24	teaching	Student Work - Creative Coding 2023-24	Selected student work and showcases from SSD Creative Coding, 2023-24 cohort.	teaching/ssd-creative-coding-2023-24/	14	3	true	gallery	teaching;students;showcase	assembly				Multi-repo assembly, mounted at /teaching/ssd-creative-coding-2023-24/ (jesmehta/SSD_Student_Work, subfolder ssd-creative-coding-2023-24/) -- see content/external-repos.tsv.
students-emergent-technology	teaching	Student Work - Emergent Technology	Working with AI, Coding with AI, and class write-ups.	teaching/#emergent-technology	20	2	true	teaching-page	teaching;ai;emergent-technology	mkdocs				Links to the Emergent Technology subheading on teaching/index.md.
teaching-approach	teaching	History & Approach	A concise teaching history and approach statement.		30	2	false	teaching-page	teaching;approach	mkdocs				No page yet -- renders as non-navigating (coming soon).
gujarati-type	visual-field-notes	Gujarati Type	A photographic collection of Gujarati letterforms.		10	2	false	gallery	type;gujarati;photography	mkdocs				
doors-of-kutch	visual-field-notes	Doors of Kutch	A place-based visual gallery of doors, thresholds, and surfaces.		20	2	false	gallery	doors;kutch;photography	mkdocs				
kochi	visual-field-notes	Kochi	Visual notes and photographic observations from Kochi.		30	2	false	gallery	kochi;photography;travel	mkdocs				
makings-3d-printing	machines-makings	3D Printing	Notes, examples, and reflections on 3D printing as a making process.	3dp/3DP_2019/	10	3	false	making-notes	3d-printing;fabrication	mkdocs				
makings-origami-paper	machines-makings	Origami & Paper	Paper structures, folds, surfaces, and material logic.	makings/origami-paper/	20	2	false	making-notes	origami;paper	mkdocs				Stub page, 2026-08-24 -- content coming later.
makings-lasercutting	machines-makings	Lasercutting	Laser cutting notes, examples, and making references.	makings/lasercutting/	30	2	false	making-notes	lasercutting;fabrication	mkdocs				Stub page, 2026-08-24 -- content coming later.
looms	machines-makings	Looms	A machine collection around weaving, textiles, and mechanisms.	makings/mini_loom/	40	3	true	machine-collection	looms;weaving;textiles	mkdocs				
drawing-machines	machines-makings	Drawing Machines	Drawing machines, plotters, and mechanical mark-making systems.	makings/drawing-machines/	50	2	false	machine-collection	plotters;drawing-machines	mkdocs				Stub page, 2026-08-24 -- content coming later.
branching-narrative	web-tech	Branching Narrative	A Twine-based interactive narrative experiment.	webtech/emergent_twine/	10	3	true	interactive-writing	twine;narrative;interactive	mkdocs				
dataviz	data-interactions	Data Visualisations	Charts, maps, datasets, and visual systems.		10	3	false	dataviz	dataviz;maps;data	mkdocs				Direct correction, 2026-08-24: was cross-listed to Bookshelf's Christie/agatha page, but that's not actually Data Visualisations content -- reverted to a real stub (no page yet) like the section's other wip entries.
writings-misc	writings	Miscellany	Essays, notes, reflections, and digital texts.	writings/miscellany/	10	2	true	writing-collection	writing;essays	mkdocs				Migrated from Bookshelf's my-writings/miscellany/ 2026-09-16.
dot-mandala-tool	web-tech	Dot Mandala Tool	Web pieces that do not belong inside fffx.	webtech/dotMandalaTool/	20	3	true	web-experiment	webtech;tools	mkdocs				
tracery-bots	web-tech	Tracery Bots	Generative text bots built with Tracery.	webtech/traceryBots/	30	2	true	web-experiment	tracery;bots;generative-text	mkdocs				
compass-n	compass	About Me		compass/about/	10	1	true	compass-direction					N	Links to docs/compass/about.md. CV and Contact live inside that page, not as their own compass points.
compass-e	compass	Now		compass/now/	20	1	true	compass-direction					E	Links to docs/compass/now.md. Replaces the earlier "Contact me" placeholder at this compass point. Contact does NOT live here (corrected 2026-08-30) -- both CV and Contact are folding into About Me instead, same as compass-n's note says.
compass-s	compass	Colophon		compass/colophon/	30	1	true	compass-direction					S	Links to docs/compass/colophon.md. No longer a dummy page -- filled with the actual writing (site origins, three worlds, v3 construction, maintenance system) and links to the v1/v2 archive within that.
compass-w	compass	Site map		compass/sitemap/	40	1	true	compass-direction					W	Auto-generated from all three worlds' TSVs by tools/generate_sitemap.py -> docs/compass/sitemap.md, mirroring build-cabinet-content.js's own TSV-as-source-of-truth pattern. CV moved off this compass point; it now lives inside the About Me page instead.
teaching-research	teaching	Research & Interests	Research directions and pedagogical interests.		40	2	false	teaching-page	teaching;research	mkdocs				No page yet.
swatch-fields	web-tech	Swatch Fields	An atlas of material swatches and colour fields.	swatch-fields/	40	3	true	material-collection	materials;swatches;colour;dye	assembly				
working-with-ai	teaching	Working with AI	15 principles for working with AI tools, assembled straight into Cabinet.	teaching/working-with-ai/	50	3	true	teaching-page	teaching;ai;guide	assembly				Multi-repo assembly (#43), mounted at /teaching/working-with-ai/ -- not built by mkdocs. location: assembly is a new value (field is descriptive only, not read by the layout code) since existing subdomain/mkdocs/external didn't fit.
prompt-generator	teaching	Prompt Generator	A generator for transformation and creative-writing prompts.	teaching/prompt-generator/	60	2	true	web-experiment	teaching;generative-text;prompts;tool	assembly				Multi-repo assembly, mounted at /teaching/prompt-generator/ (jesmehta/PromptGenerator).
oblique-strategies	teaching	Oblique Strategies	A digital deck of Oblique Strategies cards for creative blocks.	teaching/oblique-strategies/	70	2	true	web-experiment	teaching;generative;cards;tool	assembly				Multi-repo assembly, mounted at /teaching/oblique-strategies/ (jesmehta/ObliqueStrategies).
fab-academy	fab	Fabacademy	The official Fab Academy program.	https://fabacademy.org/2023/labs/riidl/students/jesal-mehta/	10	3	true	program-link	fabacademy	external				Root domain inferred from the confirmed personal-page URL (fabacademy.org/2023/...) -- high confidence, but this is the general program site, not fab-23's specific page.
fabricademy	fab	Fabricademy	The official Fabricademy program.	https://class.textile-academy.org/2026/jesal-mehta/	20	3	true	program-link	fabricademy	external				href is set to the 2026 cohort's class.textile-academy.org page. The general public site's own root domain (textile-academy.org vs. a separate fabricademy.net) was never separately confirmed -- revisit only if a more general Fabricademy destination is ever wanted instead of this cohort-specific one.
fab-23	fab	Fab 23 Bhutan	Jesal's FabAcademy Chronicles -- write-up and reflections from Fab Academy 2023.		30	3	false	reflection	fabacademy;writeup;2023	external				
fab-26	fab	Fab 26 Czechia	Fabricademy 2026 coursework and journal.		40	3	false	reflection	fabricademy;writeup;2026	external				Fabricademy, not Fab Academy -- sister program, different year cohort (2026) than fab-23 (2023).
